climate,obstacle,orientation,heat_SP,cool_SP,load,cv,qcd
1,1,0,21,26,primary [kWh/m2],0.0787554,0.0722331
1,1,45,19,24,heat_load [kWh/m2],0,0
1,1,45,19,24,cool_load [kWh/m2],0.0770105,0.0694865
1,1,45,19,24,light_load [kWh/m2],0.0269074,0.00845605
1,1,45,19,24,primary [kWh/m2],0.056061,0.0507732
1,1,45,19,26,heat_load [kWh/m2],0,0
1,1,45,19,26,cool_load [kWh/m2],0.0991391,0.0894942
1,1,45,19,26,light_load [kWh/m2],0.0269074,0.00845605
1,1,45,19,26,primary [kWh/m2],0.0676686,0.0612192
1,1,45,21,24,heat_load [kWh/m2],0,0
1,1,45,21,24,cool_load [kWh/m2],0.0770105,0.0694865
1,1,45,21,24,light_load [kWh/m2],0.0269074,0.00845605
1,1,45,21,24,primary [kWh/m2],0.056061,0.0507732
1,1,45,21,26,heat_load [kWh/m2],0,0
1,1,45,21,26,cool_load [kWh/m2],0.0991391,0.0894942
1,1,45,21,26,light_load [kWh/m2],0.0269074,0.00845605
1,1,45,21,26,primary [kWh/m2],0.0676686,0.0612192
1,2,-45,19,24,heat_load [kWh/m2],0,0
1,2,-45,19,24,cool_load [kWh/m2],0.0794408,0.0707596
1,2,-45,19,24,light_load [kWh/m2],0.0225988,0.00904466
1,2,-45,19,24,primary [kWh/m2],0.0612671,0.0551783
1,2,-45,19,26,heat_load [kWh/m2],0,0
1,2,-45,19,26,cool_load [kWh/m2],0.0970477,0.0863239
1,2,-45,19,26,light_load [kWh/m2],0.0225988,0.00904466
1,2,-45,19,26,primary [kWh/m2],0.0719915,0.0646758
1,2,-45,21,24,heat_load [kWh/m2],0,0
1,2,-45,21,24,cool_load [kWh/m2],0.0794408,0.0707596
1,2,-45,21,24,light_load [kWh/m2],0.0225988,0.00904466
1,2,-45,21,24,primary [kWh/m2],0.0612671,0.0551783
1,2,-45,21,26,heat_load [kWh/m2],0,0
1,2,-45,21,26,cool_load [kWh/m2],0.0970477,0.0863239
1,2,-45,21,26,light_load [kWh/m2],0.0225988,0.00904466
1,2,-45,21,26,primary [kWh/m2],0.0719915,0.0646758
1,2,0,19,24,heat_load [kWh/m2],0,0
1,2,0,19,24,cool_load [kWh/m2],0.0756539,0.0680356
1,2,0,19,24,light_load [kWh/m2],0.0554827,0.0263519
1,2,0,19,24,primary [kWh/m2],0.0476819,0.0417779
1,2,0,19,26,heat_load [kWh/m2],0,0
1,2,0,19,26,cool_load [kWh/m2],0.0971529,0.0873216
1,2,0,19,26,light_load [kWh/m2],0.0554827,0.0263519
1,2,0,19,26,primary [kWh/m2],0.0573699,0.0502145
1,2,0,21,24,heat_load [kWh/m2],0,0
1,2,0,21,24,cool_load [kWh/m2],0.0756539,0.0680356
1,2,0,21,24,light_load [kWh/m2],0.0554827,0.0263519
1,2,0,21,24,primary [kWh/m2],0.0476819,0.0417779
1,2,0,21,26,heat_load [kWh/m2],0,0
1,2,0,21,26,cool_load [kWh/m2],0.0971529,0.0873216
1,2,0,21,26,light_load [kWh/m2],0.0554827,0.0263519
1,2,0,21,26,primary [kWh/m2],0.0573699,0.0502145
1,2,45,19,24,heat_load [kWh/m2],0,0
1,2,45,19,24,cool_load [kWh/m2],0.0642881,0.0570259
1,2,45,19,24,light_load [kWh/m2],0.0437029,0.0177921
1,2,45,19,24,primary [kWh/m2],0.0419247,0.0361157
1,2,45,19,26,heat_load [kWh/m2],0,0
1,2,45,19,26,cool_load [kWh/m2],0.0838927,0.0744281
1,2,45,19,26,light_load [kWh/m2],0.0437029,0.0177921
1,2,45,19,26,primary [kWh/m2],0.0510182,0.0438954
