climate,obstacle,orientation,heat_SP,cool_SP,load,cvrmse,model
0,3,-45,19,26,light_load [kWh/m2],0.0127974,xgb12
0,3,-45,19,26,primary [kWh/m2],0.013478,xgb12
0,3,-45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,-45,21,24,cool_load [kWh/m2],0.0187319,xgb12
0,3,-45,21,24,light_load [kWh/m2],0.0119907,xgb12
0,3,-45,21,24,primary [kWh/m2],0.0140151,xgb12
0,3,-45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,3,-45,21,26,cool_load [kWh/m2],0.0180262,xgb12
0,3,-45,21,26,light_load [kWh/m2],0.0116613,xgb12
0,3,-45,21,26,primary [kWh/m2],0.01682,xgb12
0,4,0,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,0,19,24,cool_load [kWh/m2],0.0207648,xgb12
0,4,0,19,24,light_load [kWh/m2],0.0176067,xgb12
0,4,0,19,24,primary [kWh/m2],0.015717,xgb12
0,4,0,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,0,19,26,cool_load [kWh/m2],0.022022,xgb12
0,4,0,19,26,light_load [kWh/m2],0.016096,xgb12
0,4,0,19,26,primary [kWh/m2],0.0171363,xgb12
0,4,0,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,0,21,24,cool_load [kWh/m2],0.0187103,xgb12
0,4,0,21,24,light_load [kWh/m2],0.0157459,xgb12
0,4,0,21,24,primary [kWh/m2],0.0163775,xgb12
0,4,0,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,0,21,26,cool_load [kWh/m2],0.0231799,xgb12
0,4,0,21,26,light_load [kWh/m2],0.0149953,xgb12
0,4,0,21,26,primary [kWh/m2],0.0180425,xgb12
0,4,45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,45,19,24,cool_load [kWh/m2],0.0198435,xgb12
0,4,45,19,24,light_load [kWh/m2],0.0147341,xgb12
0,4,45,19,24,primary [kWh/m2],0.0151439,xgb12
0,4,45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,45,19,26,cool_load [kWh/m2],0.0184368,xgb12
0,4,45,19,26,light_load [kWh/m2],0.0151136,xgb12
0,4,45,19,26,primary [kWh/m2],0.0164698,xgb12
0,4,45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,45,21,24,cool_load [kWh/m2],0.0179538,xgb12
0,4,45,21,24,light_load [kWh/m2],0.016275,xgb12
0,4,45,21,24,primary [kWh/m2],0.0135301,xgb12
0,4,45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,45,21,26,cool_load [kWh/m2],0.0215441,xgb12
0,4,45,21,26,light_load [kWh/m2],0.0162069,xgb12
0,4,45,21,26,primary [kWh/m2],0.0178153,xgb12
0,4,-45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,-45,19,24,cool_load [kWh/m2],0.0173571,xgb12
0,4,-45,19,24,light_load [kWh/m2],0.0122055,xgb12
0,4,-45,19,24,primary [kWh/m2],0.0161423,xgb12
0,4,-45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,-45,19,26,cool_load [kWh/m2],0.0215638,xgb12
0,4,-45,19,26,light_load [kWh/m2],0.0135993,xgb12
0,4,-45,19,26,primary [kWh/m2],0.0165137,xgb12
0,4,-45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,-45,21,24,cool_load [kWh/m2],0.0178225,xgb12
0,4,-45,21,24,light_load [kWh/m2],0.0125421,xgb12
0,4,-45,21,24,primary [kWh/m2],0.013275,xgb12
0,4,-45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,4,-45,21,26,cool_load [kWh/m2],0.0235332,xgb12
0,4,-45,21,26,light_load [kWh/m2],0.0113945,xgb12
0,4,-45,21,26,primary [kWh/m2],0.0187044,xgb12
1,0,0,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,0,0,19,24,cool_load [kWh/m2],0.0201708,xgb12
1,0,0,19,24,light_load [kWh/m2],0.0159321,xgb12
1,0,0,19,24,primary [kWh/m2],0.0176427,xgb12
1,0,0,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,0,0,19,26,cool_load [kWh/m2],0.0292168,xgb12
1,0,0,19,26,light_load [kWh/m2],0.0168106,xgb12
1,0,0,19,26,primary [kWh/m2],0.0193224,xgb12
1,0,0,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,0,0,21,24,cool_load [kWh/m2],0.0219835,xgb12
1,0,0,21,24,light_load [kWh/m2],0.0162997,xgb12
1,0,0,21,24,primary [kWh/m2],0.0172369,xgb12
1,0,0,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,0,0,21,26,cool_load [kWh/m2],0.0301162,xgb12
1,0,0,21,26,light_load [kWh/m2],0.0162376,xgb12
1,0,0,21,26,primary [kWh/m2],0.0202589,xgb12
1,0,45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
